a: & eI
grease: g/r/i/s g/r/i/z
grille: g/r/I/l g/R/i/j/eI
gunther: g/@/n/T/@/r g/Y/n/t/@/R
guy: g/aI g/i

hare: h/E/@/r h/A/R/eI
hautes: oU/t oU/t/z
havre: h/&/v/@/r h/A/v/R/@
hector: h/E/k/t/@/r E/k/t/O/R
hektor: h/E/k/t/@/r E/k/t/O/R
herb: (@)/r/b h/(@)/r/b
herder: h/(@)/r/d/@/r h/E/R/d/@/R
heretic: h/E/r/I/t/I/k h/@/r/E/t/I/k
herman: h/E/R/m/A/n E/R/m/A/n
hermann: h/E/R/m/A/n E/R/m/A/n
hinder: h/I/n/d/@/r h/aI/n/d/@/r
holm: h/oU/m h/oU/l/m
home: h/oU/m h/j/u/m
hotel: h/oU/t/E/l oU/t/E/l
hough: h/@/f h/A/k
hugo: h/j/u/g/oU Y/g/oU
hun: h/@/n h/u/n
hung: h/@/N h/u/N

i: aI i
ibanez: i/v/A/n/j/E/T i/b/A/n/j/@/s
illegitimate: I/l/I/dZ/I/t/@/m/eI/t I/l/I/dZ/I/t/@/m/I/t
impregnate: I/m/p/r/E/g/n/eI/t I/m/p/r/E/g/n/I/t
incarnate: I/n/k/A/r/n/eI/t I/n/k/A/r/n/I/t
incarcerate: I/n/k/A/r/s/@/r/eI/t I/n/k/A/r/s/@/r/I/t
imbricate: I/m/b/r/@/k/eI/t I/m/b/r/@/k/I/t
impersonate: I/m/p/(@)/r/s/@/n/eI/t I/m/p/(@)/r/s/@/n/I/t
impropriate: I/m/p/r/oU/p/r/i/eI/t I/m/p/r/oU/p/r/i/I/t
incorporate: I/n/k/O/r/p/@/r/eI/t I/n/k/O/r/p/@/r/I/t
indurate: I/n/d/U/r/I/t I/n/d/U/r/eI/t
ingenerate: I/n/dZ/E/n/@/r/eI/t I/n/dZ/E/n/@/r/I/t
initiate: I/n/I/S/i/eI/t I/n/I/S/i/I/t
inter: I/n/t/@/r I/n/t/(@)/r
intimate: I/n/t/@/m/I/t I/n/t/@/m/eI/t
intoxicate: I/n/t/A/k/s/@/k/eI/t I/n/t/A/k/s/@/k/I/t
invalid: I/n/v/@/l/I/d I/n/v/&/l/I/d
ira: aI/r/@ i/R/A
irradiate: I/r/eI/d/i/eI/t I/r/eI/d/i/I/t
isle: aI/l i/l
isolate: aI/s/@/l/eI/t aI/s/@/l/I/t
ivan: i/v/A/n I/v/A/n

jean: Z/A/N dZ/i/n
jesus: dZ/i/z/@/s h/E/s/u/s
jo: dZ/oU j/O
job: dZ/A/b dZ/oU/b
johannes: j/oU/h/&/n/@/s dZ/oU/h/&/n/@/s
jose: h/oU/s/eI h/O/s/E
josef: dZ/oU/z/@/f j/oU/z/@/f
joseph: dZ/oU/z/@/f j/oU/z/@/f
jozef: dZ/oU/z/@/f j/oU/z/@/f
journal: dZ/(@)/r/n/-/l Z/u/R/n/A/l
juan: h/w/A/n Z/w/A/N
conjugate: k/A/n/dZ/@/g/eI/t k/A/n/dZ/@/g/I/t
jus: j/u/s Z/Y
just: dZ/@/s/t Z/Y/s/t

lam: l/&/m l/A/m
lambert: l/&/m/b/@/r/t l/&/m/b/E/R
laminate: l/&/m/@/n/eI/t l/&/m/@/n/I/t
laura: l/O/r/@ l/A/v/R/A
lead: l/E/d l/i/d
learned: l/(@)/r/n/I/d l/(@)/r/n/d
lech: l/@/k l/E/tS
leger: l/eI/Z/eI l/E/dZ/@/R
leon: l/E/O/N l/E/O/n l/i/A/n
les: l/eI l/E/s
lev: l/E/v l/E/f
liard: l/i/A/R l/i/A/R/d
liards: l/i/A/R l/i/A/R/d/s
lie: l/aI l/i l/i/eI
liege: l/i/dZ l/i/eI/Z
lien: l/i/n l/aI/@/n
lieutenant: l/u/t/E/n/@/n/t l/E/f/t/E/n/@/n/t
lies: l/aI/z l/i/eI
lis: l/I/s l/i
liza: l/i/z/@ l/aI/z/@
live: l/I/v l/aI/v
loci: l/oU/k/i l/oU/s/aI
lot: l/A/t l/O
lug: l/@/g l/U/x
lung: l/@/N l/U/N
lys: l/i/s l/i

maculate: m/&/k/j/@/l/eI/t m/&/k/j/@/l/I/t
madeleine: m/&/d/@/l/eI/n m/&/d/-/l/I/n
